Judul,Saluran TV,Judul2,Judul2_no_stopwords,Judul2_ns_stem
"Suami Tukang Maksiat Yang Terlantarkan Keluarga Kerandanya, Terseret Angin Kencang Dan Jatuh Ke Jurang",Indosiar,suami tukang maksiat yang terlantarkan keluarga kerandanya terseret angin kencang dan jatuh ke jurang,suami tukang maksiat terlantarkan keluarga kerandanya terseret angin kencang jatuh jurang,suami tukang maksiat lantar keluarga keranda seret angin kencang jatuh jurang
"Akibat Korupsi Uang Proyek Pesantren, Jenazah Mandor Terpendam Tanah Dan Hilang Tak Berbekas",Indosiar,akibat korupsi uang proyek pesantren jenazah mandor terpendam tanah dan hilang tak berbekas,akibat korupsi uang proyek pesantren jenazah mandor terpendam tanah hilang berbekas,akibat korupsi uang proyek pesantren jenazah mandor pendam tanah hilang bekas
Kain Kafan Menghitam dan Jenazah Tersedot Lumpur Hidup Karena Menjual Kerupuk Kulit Dari Limbah Sepatu,Indosiar,kain kafan menghitam dan jenazah tersedot lumpur hidup karena menjual kerupuk kulit dari limbah sepatu,kain kafan menghitam jenazah tersedot lumpur hidup menjual kerupuk kulit limbah sepatu,kain kafan hitam jenazah sedot lumpur hidup jual kerupuk kulit limbah sepatu
Perhiasan Menempel Erat Di Tubuh Si Penipu Emas Saat Jenazahnya Hendak Dikuburkan,Indosiar,perhiasan menempel erat di tubuh si penipu emas saat jenazahnya hendak dikuburkan,perhiasan menempel erat tubuh si penipu emas jenazahnya dikuburkan,hias tempel erat tubuh si tipu emas jenazah kubur
"Gadis Pemutus Tali Silaturahmi, Tali Kafannya Terputus dan Liang Lahatnya Dipenuhi Lumpur",Indosiar,gadis pemutus tali silaturahmi tali kafannya terputus dan liang lahatnya dipenuhi lumpur,gadis pemutus tali silaturahmi tali kafannya terputus liang lahatnya dipenuhi lumpur,gadis putus tali silaturahmi tali kafan putus liang lahatnya penuh lumpur
Penjual Daging Oplosan mati Terjebak Perangkap Celeng Yang Dibuatnya Sendiri,Indosiar,penjual daging oplosan mati terjebak perangkap celeng yang dibuatnya sendiri,penjual daging oplosan mati terjebak perangkap celeng,jual daging oplos mati jebak perangkap celeng
"Merampas Warisan Anak, Jenazah Ibu Tiri Hanyut Terbawa Banjir Bandang",Indosiar,merampas warisan anak jenazah ibu tiri hanyut terbawa banjir bandang,merampas warisan anak jenazah ibu tiri hanyut terbawa banjir bandang,rampas waris anak jenazah ibu tiri hanyut bawa banjir bandang
Banjir Bandang Menerjang Jenazah Sepasang Pemilik Biro Haji yang Tidak Amanah,Indosiar,banjir bandang menerjang jenazah sepasang pemilik biro haji yang tidak amanah,banjir bandang menerjang jenazah sepasang pemilik biro haji amanah,banjir bandang terjang jenazah pasang milik biro haji amanah
"Jenazah Orang yang Menggelapkan Uang, Kerandanya Jatuh ke Lumpur Hisap Karena Ditolak Bumi",Indosiar,jenazah orang yang menggelapkan uang kerandanya jatuh ke lumpur hisap karena ditolak bumi,jenazah orang menggelapkan uang kerandanya jatuh lumpur hisap ditolak bumi,jenazah orang gelap uang keranda jatuh lumpur hisap tolak bumi
Preman Tukang Palak Jenazahnya Membusuk Berhari - Hari Di Hutan,Indosiar,preman tukang palak jenazahnya membusuk berhari  hari di hutan,preman tukang palak jenazahnya membusuk berhari hutan,preman tukang palak jenazah busuk hari hutan
Liang Lahat Penuh Api dan Nisan Selalu Terbalik Akibat Suka Mencuri Amal Jariyah,Indosiar,liang lahat penuh api dan nisan selalu terbalik akibat suka mencuri amal jariyah,liang lahat penuh api nisan terbalik akibat suka mencuri amal jariyah,liang lahat penuh api nisan balik akibat suka curi amal jariyah
Jenazah Penebang Kayu Liar Mati Dengan Kulit Bersisik Pohon Dan Kerandanya Tetimpa Pohon Sampai Terbakar,Indosiar,jenazah penebang kayu liar mati dengan kulit bersisik pohon dan kerandanya tetimpa pohon sampai terbakar,jenazah penebang kayu liar mati kulit bersisik pohon kerandanya tetimpa pohon terbakar,jenazah tebang kayu liar mati kulit sisik pohon keranda tetimpa pohon bakar
Terjebak Di Dalam Sumur Tua Dan Kakinya Buntung Akibat Menjual Tahu Formalin,Indosiar,terjebak di dalam sumur tua dan kakinya buntung akibat menjual tahu formalin,terjebak sumur tua kakinya buntung akibat menjual formalin,jebak sumur tua kaki buntung akibat jual formalin
"Jenazah Anak Durhaka Yang Mencampakkan Orang Tuanya, Makam Sambar Petir",Indosiar,jenazah anak durhaka yang mencampakkan orang tuanya makam sambar petir,jenazah anak durhaka mencampakkan orang tuanya makam sambar petir,jenazah anak durhaka campak orang tua makam sambar petir
Makam Si Peminta Hutang Palsu Tertimbun Batu Dan Diinjak Serigala,Indosiar,makam si peminta hutang palsu tertimbun batu dan diinjak serigala,makam si peminta hutang palsu tertimbun batu diinjak serigala,makam si minta hutang palsu timbun batu injak serigala
"Tenggorokan Terasa Terbakar dan Hujan Debu, Sang Penjual Air Minum Dzalim",Indosiar,tenggorokan terasa terbakar dan hujan debu sang penjual air minum dzalim,tenggorokan terbakar hujan debu sang penjual air minum dzalim,tenggorok bakar hujan debu sang jual air minum zalim
Penipu Investasi Bodong Yang Kakinya Membengkak Tewas di Dalam Mobil Yang Jatuh ke Jurang dan Terbakar,Indosiar,penipu investasi bodong yang kakinya membengkak tewas di dalam mobil yang jatuh ke jurang dan terbakar,penipu investasi bodong kakinya membengkak tewas mobil jatuh jurang terbakar,tipu investasi bodong kaki bengkak tewas mobil jatuh jurang bakar
"Pasangan Pengoplos BBM Mati Terbakar Bensin, Jenazahnya tertimpa Tiang Listrik dan Liang Lahatnya Tersambar Petir Berkali - Kali",Indosiar,pasangan pengoplos bbm mati terbakar bensin jenazahnya tertimpa tiang listrik dan liang lahatnya tersambar petir berkali  kali,pasangan pengoplos bbm mati terbakar bensin jenazahnya tertimpa tiang listrik liang lahatnya tersambar petir berkali kali,pasang oplos bbm mati bakar bensin jenazah timpa tiang listrik liang lahatnya sambar petir kali kali
Jenazah Supir Angkot Serakah Menghitam Terkena Oli dan Liang Lahatnya Dipenuhi Cairan Hitam,Indosiar,jenazah supir angkot serakah menghitam terkena oli dan liang lahatnya dipenuhi cairan hitam,jenazah supir angkot serakah menghitam terkena oli liang lahatnya dipenuhi cairan hitam,jenazah supir angkot serakah hitam kena oli liang lahatnya penuh cair hitam
Pemalsu Air Isi Ulang Kerandanya Tertimpa Atap Yang Ambrol dan Makamnya Seperti Kubangan Lumpur Panas,Indosiar,pemalsu air isi ulang kerandanya tertimpa atap yang ambrol dan makamnya seperti kubangan lumpur panas,pemalsu air isi ulang kerandanya tertimpa atap ambrol makamnya kubangan lumpur panas,palsu air isi ulang keranda timpa atap ambrol makam kubang lumpur panas
Leher Membengkak Menjelang Ajal Dan Makam Hancur Karena Badai Karena Menjadi Penipu Arisan Bodong,Indosiar,leher membengkak menjelang ajal dan makam hancur karena badai karena menjadi penipu arisan bodong,leher membengkak menjelang ajal makam hancur badai penipu arisan bodong,leher bengkak jelang ajal makam hancur badai tipu arisan bodong
